fname,dialogue,summary,topic
train_2290-rp,"#Person1#: 이 나라에 오래 있었잖아. 인도네시아와 영국에서 살면서 가장 느낀 차이는 뭐야?
#Person2#: 어떤 측면에서 얘기해볼까? 문화적으로, 아니면 교육적으로?
#Person1#: 그럼 가족에 대해 얘기해볼까?
#Person2#: 아, 가족에 대해선 정말 많은 차이가 있어.
#Person1#: 어떤 점이 다른 거야? 가족 규모나 관습 같은 거?
#Person2#: 인도네시아는 다양한 가족 형태가 있어. 어떤 집은 핵가족이고, 종교적 이유로 아이가 많은 경우도 있어.
#Person1#: 그게 사는 지역에 따라 달라?
#Person2#: 응, 지역에 따라서도 다르지만, 종교에 따라서도 차이가 나.
#Person1#: 그럼 어떤 종교가 가족을 가장 크게 이루는 편이야?
#Person2#: 주로 무슬림 가족이 더 큰 편이야.
#Person1#: 가족이 5명이나 6명 정도야, 아니면 더 큰가?
#Person2#: 내가 알기로는 인도네시아에서 한때 평균이 4명 정도였던 것 같아. 가끔은 6명일 수도 있지.","#Person2#는 #Person1#에게 인도네시아와 영국의 가족 차이를 설명합니다. 인도네시아에서는 무슬림 가족이 대개 가장 크며, 자녀가 많은 경우가 많다고 합니다.",가족 문화 차이
train_9775-rp,"#Person1#: Anna, 그 옷 너한테 정말 잘 어울려. 바지와 색깔이 딱 맞아 떨어지네.
#Person2#: 정말 고마워, Carla. 네가 그렇게 말해주니까 기분 너무 좋아. 넌 항상 옷을 정말 멋지게 입잖아.
#Person1#: 그 드레스, 네 탁월한 취향을 제대로 보여주는 것 같아. 가격이 꽤 비쌀 거 같은데.
#Person2#: 아냐, 생각보다 안 비쌌어. 몰에서 세일할 때 샀는데, 60%나 할인 받았어.
#Person1#: 정말? 너 정말 쇼핑 잘하는구나! 다음에도 세일 있으면 꼭 같이 가자, 약속해.
#Person2#: 약속할게.",Carla는 Anna의 옷차림과 그녀의 뛰어난 쇼핑 기술을 칭찬합니다.,옷차림과 세일
train_5942-rp,"#Person1#: Susan, 이번 토요일에 무슨 계획이 있어?
#Person2#: 사실 좀 바쁠 것 같아. 무슨 일이야?
#Person1#: 같이 영화 보러 가거나 호수 주변을 산책할까 싶어서.
#Person2#: 정말 좋겠지만, 토요일은 하루 종일 바쁠 예정이야.
#Person1#: 그럼 토요일에 무슨 일이 있어?
#Person2#: 아침에 엄마랑 집 청소를 하고, 12시 반에는 치과 예약이 있어. 두 번이나 미뤄서 이번에는 못 빼먹겠어.
#Person1#: 그럼 그 이후에는 어때?
#Person2#: 치과 끝나고 2시에는 Julie를 만나 과학 프로젝트를 도와줘야 해. 월요일 아침까지 내야 해서.
#Person1#: 알겠어, 그럼 그 후는?
#Person2#: 시간이 거의 없을 것 같아. 4시 반에는 남동생 축구 연습 끝나고 데려다 줘야 하고, 5시 반에는 엄마가 저녁을 부탁하셨어. 가끔 노예 같이 느껴져. 그리고 설거지랑 역사 과제 읽기도 해야 해. 얼마나 걸릴지 모르겠어!
#Person1#: 와, 정말 바쁘네. 저녁에 우리 집에서 팝콘 만들어서 영화 보는 건 어때?
#Person2#: 아, 그거 좋은 생각인데, 우리 비디오 기계가 고장났어.
#Person1#: 그럼 그냥 게임이나 하자.
#Person2#: 좋아. 그런데 오기 전에 전화해줘. 엄마가 또 무슨 일을 시킬지 모르니까.","#Person1#이 Susan에게 이번 토요일에 만나자고 제안했지만, Susan은 집 청소, 치과 예약, Julie와의 과학 프로젝트 준비, 남동생 데리기, 저녁 준비 등으로 바쁜 일정을 설명했습니다. 결국 저녁에 집에서 게임을 하기로 계획했지만, 확실한 것은 아닙니다.",주말 일정 조율
train_8870-rp,"#Person1#: 죄송한데, 도움 좀 받을 수 있을까요?
#Person2#: 물론이죠. 어떤 도움이 필요하신가요?
#Person1#: 여기서 엑셀시오 호텔까지 가는 방법을 알려주실 수 있으세요?
#Person2#: 엑셀시오 호텔요? 도심에 있는 곳 말이죠?
#Person1#: 네, 맞아요. 포티세컨드 스트리트와 일레븐스 에비뉴 근처에 있어요.
#Person2#: 그럼 버스를 타면 도심까지 갈 수 있어요. 터미널 문을 나가서 길을 건너면 '공항 - 도심 버스' 표지판이 보일 거예요. 아니면 터미널 앞에서 택시를 타도 돼요.
#Person1#: 정말 감사합니다. 혹시 버스 요금이 얼마인지 아시나요?
#Person2#: 요금은 5달러예요. 택시는 15달러에서 20달러 정도 들 거예요.
#Person1#: 그렇다면 버스를 타는 게 좋겠네요. 버스는 얼마나 자주 오나요?
#Person2#: 아마 방금 버스가 지나갔을 거예요. 밖에 있는 표지판에 시간표가 적혀 있을 거예요. 대략 30분 간격으로 오는 것 같아요.
#Person1#: 다시 생각해보니, 짐이 많고 시간에 늦어서 그냥 택시를 타는 게 좋겠어요. 고마워요.","#Person2#는 #Person1#에게 엑셀시오 호텔로 가는 방법으로 버스와 택시를 제안합니다. #Person1#은 처음에 저렴한 요금 때문에 버스를 고려하지만, 짐이 많고 시간이 촉박해서 결국 택시를 선택합니다.",길안내 요청
train_4617-rp,"#Person1#: 너와 아만다가 공동 친구를 통해 알게 되었다고 했지? 어떤 식으로 만난 거야?
#Person2#: 그래, 내 룸메이트가 아만다와 친구라서 그들이 우리를 소개해줬어.
#Person1#: 그 친구가 아만다에 대해 미리 설명해줬어?
#Person2#: 응, 그녀가 어떤 사람인지 알려줬는데, 내 취향에 맞는다는 생각이 들었어.",#Person2#는 #Person1#에게 자신과 아만다가 공동 친구의 소개로 만난 과정을 설명했습니다.,소개팅
train_6624-rp,"#Person1#: 요즘 잘 지내고 있나요?
#Person2#: 네, 잘 지내고 있어요. 감사합니다.
#Person1#: 제가 도와드릴 것이 있을까요?
#Person2#: 수표를 취소해야 해요.
#Person1#: 수표에 문제가 있었나요?
#Person2#: 실수로 금액을 너무 많이 적었어요.
#Person1#: 얼마를 적으셨나요?
#Person2#: 150달러로 적었어요.
#Person1#: 원래 얼마로 적으셨어야 했나요?
#Person2#: 100달러로 적어야 했어요.
#Person1#: 지금 바로 취소해드릴게요.
#Person2#: 정말 감사합니다.",#Person2#는 #Person1#이 도와줘서 실수로 많이 적은 수표를 취소했습니다.,수표 취소
train_6466-rp,"#Person1#: 너 곧 이사 가잖아.
#Person2#: 응, 사무실 근처에 더 좋은 집을 구해서 이사 가게 됐어. 너무 맘에 드는데, 좀 걱정이야.
#Person1#: 뭐가 걱정인데?
#Person2#: 짐이 많아서 어떻게 옮길지 고민이야. 알잖아, 내가 짐이 좀 많다는 거.
#Person1#: 이사 업체를 부르면 돼.
#Person2#: 그럼 비용이 얼마나 들까?
#Person1#: 트럭 한 대에 200위안 정도 할 거야.
#Person2#: 그 정도면 좀 부담스러운데.
#Person1#: 그래도 생각해봐, 짐만 싸고 나머지는 업체에 맡기면 얼마나 편하겠어.
#Person2#: 맞아, 그렇게 생각하면 되겠네.
#Person1#: 내가 아는 업체 중에 서비스가 정말 좋은 곳이 있어. 전화번호 줄게.
#Person2#: 정말 고마워.
#Person1#: #PhoneNumber#이야.
#Person2#: 알겠어, 정말 고마워. 덕분에 큰 도움이 됐어.
#Person1#: 천만에.","#Person2#는 이사를 준비하고 있으며, #Person1#는 그에게 서비스 좋은 이사 업체를 추천해줌으로써 비용 문제는 그만한 가치가 있다고 설득한다.",이사 준비
train_9895-rp,"#Person1#: Mrs. Rogers, 인터뷰에 응해주셔서 감사합니다. 선생님께서 1940년대에 사셨던 분을 인터뷰하라고 하셨어요.
#Person2#: 물론이죠, Joey. 첫 질문이 뭐예요?
#Person1#: 1940년에 어디에 살고 계셨나요?
#Person2#: 저는 미네소타 미니애폴리스에서 태어나 그곳에서 자랐어요.
#Person1#: 가족과 함께 지냈나요?
#Person2#: 네, 부모님과 남동생과 함께 살았어요. 1943년에 워싱턴 D.C.로 혼자 이사했어요. 거기서 신문사에서 타이피스트로 일했어요.
#Person1#: D.C.는 어땠나요?
#Person2#: 수도에서 지낸 시간은 정말 흥미로웠어요. 그곳에서 정치에 관심을 갖게 되었어요. 캘리포니아로 이사했을 때 바로 새크라멘토에 가서 주 의원을 위해 일하게 되었어요.
#Person1#: 전쟁이 끝날 때 캘리포니아에 계셨나요?
#Person2#: 아니요, 그때도 D.C.에 있었어요. 거기서 남편을 만나고 다음 해인 1946년에 이사했어요.
#Person1#: 의원님을 위해 얼마나 일하셨나요?
#Person2#: 그 정치인의 비서로 2년 동안 일했어요. 그 후 두 딸을 낳고 몇 년 동안 집에 있었어요. 하지만 아이들이 커가면서 정치에 도전했어요.
#Person1#: 정말요? 당선되셨나요?
#Person2#: 네, 당선되었어요. 그 후 20년 동안 지역 정치인으로 활동했어요.
#Person1#: 와, 몇 년이나 옆집에 살았는데 그런 줄 전혀 몰랐어요!","Joey는 1940년대를 살았던 Mrs. Rogers를 인터뷰했습니다. Mrs. Rogers는 1940년에 미니애폴리스에서 가족과 함께 살았고, 1943년에 워싱턴 D.C.로 이사하여 신문사 타이피스트로 일했습니다. 1946년에 캘리포니아로 이사한 후, 그녀는 주 의원을 위해 2년간 일하고, 자녀들이 성장한 후 정치에 출마하여 당선되어 20년간 지역 정치인으로 활동했습니다.",1940년대 회고
train_150-rp,"#Person1#: 오! 정말 멋진 풍경이네요! 이렇게 넓게 펼쳐진 풍경은 처음 봐요. 그리고 이 상쾌한 공기를 마시면 그 신선함이 느껴져요.
#Person2#: 산 꼭대기에서는 Guiling 시 전체를 볼 수 있어요.
#Person1#: 정말 멋져요! 자주 등산하러 와야겠어요.
#Person2#: 그럼요. Guiling 사람들은, 특히 노인과 아이들이 아침에 여기서 산을 자주 올라요.
#Person1#: 그렇게 말하는 것도 이해가 되네요.
#Person2#: 빨리! 쌍안경을 줘봐요. 저 새 좀 봐요... 전에는 본 적이 없는 새네요. Guiling에 원래 서식하는 종이고 멸종 위기종이에요. 정말 운이 좋네요!
#Person1#: 당신이 새 관찰을 좋아한다는 걸 몰랐어요.
#Person2#: 사실 새 관찰을 좋아하는 건 아니에요. 그냥 야생동물을 좋아해요. 도시에선 많이 볼 수 없잖아요. 이곳은 정말 자연의 보물창고에요.",#Person1#과 #Person2#는 산 꼭대기에서 Guiling 시의 경치를 감상하며 희귀한 새를 관찰하고 있습니다.,경치 감상
train_2609-rp,"#Person1#: 그녀의 머리색이 뭔지 알아?
#Person2#: 완전 금발이야. 머리는 꽤 짧아.
#Person1#: 그럼 곱슬머리야?
#Person2#: 아니, 생머리야. 귀를 살짝 덮을 정도 길이였어.
#Person1#: 안경은 썼어?
#Person2#: 아니, 안 썼어. 다른 사람을 떠올리는 거 아니야?
#Person1#: 아냐, 확실히 그 사람 맞아.
#Person2#: 음... 또 뭐가 있을까? 그녀는 얼굴이 아주 동그랗고 입이 커서 웃으면 얼굴이 입처럼 보여.
#Person1#: 아... 잘 모르겠는데.",#Person1#과 #Person2#는 한 여자의 외모를 묘사하며 같은 사람인지 확인하려 합니다.,여자 외모 묘사
train_4007-rp,"#Person1#: 안녕하세요. 제 미니바가 다 비어 있어서요.
#Person2#: 다 드셨나요?
#Person1#: 네, 전부 마셨어요.
#Person2#: 특별히 필요하신 게 있으신가요?
#Person1#: 페리에랑 짐 빔을 각각 세 병씩 주문할게요.
#Person2#: 짐 빔과 페리에 맞으시죠? 다른 건 필요 없으신가요?
#Person1#: 방에 있던 사과가 맛있어서 몇 개 더 부탁드려요.
#Person2#: 알겠습니다. 더 필요한 건 없으신가요?
#Person1#: 아, 그리고 포도 주스도 함께 부탁드려요.
#Person2#: 페리에, 짐 빔, 사과, 포도 주스까지 가져다 드리겠습니다.","#Person1#이 #Person2#에게 미니바에 페리에, 짐 빔, 사과, 포도 주스를 채워달라고 요청합니다.",미니바 재고 요청
train_6307-rp,"#Person1#: 제 방에 큰 문제가 생겼어요. 507호인데, 바퀴벌레가 돌아다녀요.
#Person2#: 죄송합니다. 좀 더 자세히 설명해 주시겠어요?
#Person1#: 방에 아홉 마리의 바퀴벌레가 기어 다니고 있어요.
#Person2#: 그렇게 자주 보이는 건가요?
#Person2#: 정말 죄송합니다. 즉시 확인해볼게요. 상사에게 전화 연결해 드리겠습니다.","#Person1#은 방 안에서 바퀴벌레 문제를 겪었고, #Person2#은 이를 해결하기 위해 상사에게 연락을 시도합니다.",방 내 바퀴벌레 문제
train_1791-rp,"#Person1#: 극장에 어떻게 갈지 고민이야.
#Person2#: 버스를 타보는 게 어때?
#Person1#: 런던의 버스 시스템은 정말 싫어! 기사들도 불친절하고, 버스가 항상 늦고, 도와주는 사람도 별로 없어.
#Person2#: 그렇게 나쁘진 않을 거야. 아마 운이 안 좋았던 거겠지.
#Person1#: 한 번만 그런 게 아니야. 매번 버스를 탈 때마다 무슨 일이 생기더라.
#Person2#: 지하철을 타는 건 어때? 하지만 한 노선에서 세 정거장을 가고 두 번 갈아타야 해.
#Person1#: 게다가 지하철 요금이 버스보다 두 배나 비싸잖아.
#Person2#: 서두르지 않으면 공연을 놓칠 거야. 그냥 버스를 타자.
#Person1#: 시간이 너무 없어서 택시 타는 게 좋겠어.
#Person2#: 번잡한 시간에는 택시를 잡기 어려울 거야. 그냥 버스를 타자.
#Person1#: 그래, 다음 버스가 언제 오는지 시간표 좀 보자.
#Person2#: 곧 올 것 같아.
#Person1#: 걱정 마, 아무 일도 없을 거야. 네 표도 내가 사줄게.
#Person2#: 고마워, 너 정말 친절하네.
#Person1#: 봐봐, 버스에서도 좋은 일이 생겼잖아!","#Person2#는 극장까지 버스를 타자고 제안했지만, #Person1#은 런던의 버스 시스템을 싫어했습니다. #Person1#은 지하철이 비싸다고 생각했고, #Person2#는 혼잡한 시간에 택시를 잡기 어렵다고 했습니다. 결국 그들은 버스를 타기로 결정했습니다.",교통수단 논의
train_10447-rp,"#Person1#: 일이 너무 바빠서 운동할 힘이 안 남아.
#Person2#: 그건 핑계에 불과해. 운동할 시간을 항상 만들 수 있잖아.
#Person1#: 그래도 항상 긴 시간 열심히 일하고, 점심 먹을 시간도 없어. 그런데도 살이 더 찌고 있어.
#Person2#: Bill, 너도 알잖아. 일은 운동이랑 달라서 스트레스는 풀리지 않고, 식사를 거른다고 살이 빠지는 게 아니야. 오히려 몸이 지방을 더 저장하게 돼.
#Person1#: 네 말이 맞아. 그런데 어떻게 해야 하지?
#Person2#: 매일 저녁 식사 후에 산책 한 번 나가보는 건 어때? 신문 보는 시간에 건강도 챙길 수 있어.
#Person1#: 그런데 그러면 뉴스를 놓칠 텐데. 중국 소식은 내 일에 중요해.
#Person2#: 알아, 알아. 휴대용 라디오 있으면 라디오로 뉴스 들으면서 산책도 할 수 있어.
#Person1#: 그거 좋은 생각이네!","Bill은 살이 찌는 것에 대해 걱정하고 있고, #Person2#는 규칙적인 운동과 식사를 권장하고 있습니다. #Person2#는 Bill에게 저녁 식사 후 라디오를 들으며 산책을 나가라고 제안합니다.",체중 관리 조언
train_2495-rp,"#Person1#: 안녕하세요, Mr. Atkins. 오랜만에 뵈네요. 어디 다녀오셨어요?
#Person2#: 일본에 출장을 다녀왔어요.
#Person1#: 정말 다양한 곳을 다니시는군요. 지금까지 몇 군데나 방문하셨어요?
#Person2#: 대략 60개국 정도 다녀왔어요. 정말 세계 여행가 같아요.
#Person1#: 그렇게 많이 여행하신 분이 또 있을까요?
#Person2#: 언젠가는 한 곳에 정착할지도 모르겠어요. 한 곳에 오래 머무르는 게 어려워요.
#Person1#: 여행을 얼마나 오래 하셨어요?
#Person2#: 25년 동안 회사에서 일하면서 여행도 계속 했어요.","Mr. Atkins은 #Person1#에게 일본에 출장을 다녀왔다고 전하며, 지금까지 60개국을 방문했고 25년 동안 여행을 즐겼다고 설명합니다.",세계 여행 경험
train_5905-rp,"#Person1#: 여보세요, 여기 Jack인데요.
#Person2#: 안녕, Jack. 나 Mary야. 지금 뭐 하고 있어?
#Person1#: 일하고 있어. 목요일은 보통 늦게까지 일해. 이번 주도 일정이 꽉 찼어.
#Person2#: 그럼 금요일에 우리랑 저녁 먹을래?
#Person1#: 내일? 미안하지만 못 갈 것 같아. Birmingham에 비즈니스 때문에 가야 해.
#Person2#: 그럼 토요일은 어때?
#Person1#: 토요일 저녁에는 안 나갈 거야. 항상 토요일 저녁엔 축구를 봐서.
#Person2#: 그럼 다음 주 화요일에 와줄 수 있어?
#Person1#: 다음 주 화요일? 잠깐만. 5월 21일일 거야? 아, 이런. 이모 생일 파티에 가기로 했어.
#Person2#: 그럼 다음 주 수요일은 어때?
#Person1#: 좋아, Mary. 다음 주 수요일에 저녁 먹자.
#Person2#: 좋아. 잘 지내.
#Person1#: 너도. 안녕.","Mary가 Jack에게 전화를 걸어 저녁 식사 초대를 했고, Jack은 바쁜 일정을 조율해 결국 다음 주 수요일에 함께 저녁을 먹기로 했다.",저녁 초대
train_3037-rp,"#Person1#: Mr. Brown, 달력이 없어서 오늘이 며칠인지 모르겠네요.
#Person2#: 지금은 2001년 9월 25일 화요일입니다.
#Person1#: 아, 9월 25일이군요. 오늘 저녁에 약속이 있어서요.
#Person2#: 그 약속이 몇 시에 있나요?
#Person1#: 8시에 있어요.
#Person2#: 지금 몇 시인지 아세요? 정확한 시간을 알고 계신가요?
#Person1#: 정확히 몇 시인지 모르겠어요.
#Person2#: 아마 6시쯤일 거예요.
#Person1#: 그렇다면 지금 가야겠어요. 늦고 싶지 않아서요.
#Person2#: 아직 이르니까 걱정하지 마세요. 늦지 않을 거예요.","#Person1#은 Mr. Brown에게 오늘의 날짜를 물어보고, Brown은 9월 25일이라고 알려줍니다. #Person1#은 8시에 약속이 있어 지금 가야 할 것 같다고 말하지만, 아직 6시밖에 되지 않아 늦지 않을 것이라고 #Person2#가 안심시킵니다.",시간과 약속
train_4209-rp,"#Person1#: 실례하지만, 여기서 수강 신청할 수 있나요? 다음 학기에 신청하려고 합니다.
#Person2#: 네, 맞습니다. 학생 ID를 주시겠어요?
#Person1#: 여기 있습니다.
#Person2#: 좋아요, Susan. 경영학 전공 2학년이시죠? 맞나요?
#Person1#: 네, 맞아요. 이번 학기에 심리학 부전공을 위해 추가 수업을 듣고 싶어요.
#Person2#: 물론 문제없습니다. 듣고 싶은 수업 목록이 있나요?
#Person1#: 네, 여기 있습니다. 그런데 시간표가 맞을지 모르겠어요.
#Person2#: 괜찮습니다. 부전공 과목은 어떻게 되나요?
#Person1#: 아, 맞다! 거의 잊을 뻔했네요! 기초 언어학, 소비자 심리학, 신경해부학을 들어야 해요.
#Person2#: 이번 학기 꽤 바쁘시겠어요! 등록이 완료되었습니다. 수업 시작 전에 첫 학비를 납부해야 합니다.","Susan은 경영학을 전공하고 있으며, 심리학을 부전공으로 준비하고 있습니다. #Person2#는 그녀의 수강 신청을 도와주고 첫 학비 납부를 상기시켜 주었습니다.",수강 신청
train_7930-rp,"#Person1#: 다음 손님, 안녕하세요. 어떤 도움을 드릴까요?
#Person2#: 프랑스로 항공 등기 우편으로 편지를 보내고 싶어요.
#Person1#: 알겠습니다. 총 4달러 20센트입니다.
#Person2#: 여기 5달러예요.
#Person1#: 잔돈을 드립니다. 등기 우편 영수증을 기다려 주세요.
#Person2#: 소포도 포장해 주세요. 이 송장을 사용할게요.
#Person1#: 확인해 볼게요. 여기 송장이 있습니다. 서명 부탁드립니다.
#Person2#: 그리고 이 편지는 어디에 부치면 되나요?
#Person1#: 저 모퉁이에 있는 도시 외 발송함에 넣어 주세요.
#Person2#: 친절하게 도와주셔서 감사합니다.
#Person1#: 천만에요. 좋은 하루 되세요.","#Person1#은 #Person2#가 프랑스로 항공 등기 우편과 소포를 보내는 과정을 도와주며, 편지 부칠 장소를 알려주었습니다.",우편 서비스 이용
train_7912-rp,"#Person1#: 새로 나온 셔츠 한번 보실래요?
#Person2#: 미안하지만, 별로 끌리지 않네요.
#Person1#: 진짜 멋진 디자인이에요.
#Person2#: 그래요?
#Person1#: 거기다 가격도 합리적이에요.
#Person2#: 아, 저는 가격은 크게 신경 안 써요.
#Person1#: 많은 사람들이 구매하고 있어요.
#Person2#: 그래요?
#Person1#: 네, 요즘 트렌드거든요.
#Person2#: 전 유행엔 별로 관심이 없어서요.
#Person1#: 알겠어요.
#Person2#: 그래도 제안해줘서 고마워요.
#Person1#: 도움이 못 돼서 죄송해요.","#Person1#이 #Person2#에게 최신 셔츠를 추천했으나, #Person2#는 흥미를 보이지 않았습니다.",판매 권유
train_5268-rp,"#Person1#: 안녕, Steven! 결혼 축하드려요!
#Person2#: 감사합니다.
#Person1#: 결혼 생활은 어떠세요?
#Person2#: 우린 지금 정말 행복해요. 서로 잘 맞는 것 같아요.
#Person1#: 정말 기뻐요. 결혼이 사랑의 끝이라는 말이 항상 맞지 않을 수도 있겠네요.
#Person2#: 사람마다 다르니까요.","#Person1#이 Steven의 결혼을 축하하며, 그들의 결혼 생활에 대해 이야기를 나눕니다.",결혼 축하와 생활
train_6817-rp,"#Person1#: 저는 207번 항공편 환승객인데, 어디로 가야할지 모르겠어요.
#Person2#: 기다려 주세요. 12번 게이트에서 항공편이 출발합니다. 12번 게이트로 가세요.
#Person1#: 12번 게이트는 어디서 찾을 수 있죠?
#Person2#: 저쪽 에스컬레이터를 타고 왼쪽으로 가시면 12번 게이트 표지판이 보일 거예요.
#Person1#: 정말 고마워요.",#Person2#가 #Person1#에게 12번 게이트로 가는 방법을 알려주었습니다.,공항 내 길 안내
train_708-rp,"#Person1#: 안녕, Jane. 어서 와.
#Person2#: 안녕하세요. 혹시 아직 같이 살 룸메이트를 찾고 계신지 궁금해서 왔어요.
#Person1#: 네, 맞아요. 집을 보여드릴게요. 여기가 거실이에요.
#Person2#: 카펫은 새로 바꿔야 할 것 같네요. 저 얼룩들은요?
#Person1#: 전에 살던 사람들 때문에 조금 난리가 났었어요. 청소가 필요하지만 돈이 없어서 못하고 있어요.
#Person2#: 그렇군요. 부엌은 어떤가요?
#Person1#: 이쪽으로 오세요. 최신 가전제품들이 있지만, 냉장고 문이 부서져서 완전히 닫히지 않아요. 걱정 마세요, 박스로 고정해 놓았어요.
#Person2#: 그렇군요.
#Person1#: 그래도 그렇게 나쁘진 않아요.
#Person2#: 화장실은 어떤 상태인가요?
#Person1#: 음...
#Person2#: 충분히 봤어요. 이런 환경에서 어떻게 지내셨는지 놀라워요.
#Person1#: 한 달에 450달러면 이 정도는 괜찮지 않나요? 문제들은 있지만 고쳐 나가면 돼요.
#Person2#: 알겠어요. 감사합니다. 충분히 봤어요.","Jane이 #Person1#의 집을 방문하여 룸메이트로 함께 살 수 있을지 평가합니다. #Person1#은 집을 설명하지만, Jane은 집 상태가 만족스럽지 않아 보입니다.",룸메이트 방문
train_8532-rp,"#Person1#: 정말 믿기지 않아. 벌써 마지막 학년이라니. 대학교 시절이 정말 빨리 지나가네.
#Person2#: 그러게 말이야. 이제 곧 사회로 나가야 하는데, 졸업 후에 뭘 할지 정했어?","#Person1#과 #Person2#는 대학교 시절이 빠르게 지나가는 것에 대해 이야기하고, 졸업 후의 계획에 대해 대화를 나눕니다.",졸업 앞둔 대학생의 고민
train_10877-rp,"#Person1#: 안녕하세요!
#Person2#: Cooper 씨와 통화할 수 있을까요?
#Person1#: 잠시만 기다려 주실래요? 지금 Cooper 씨의 전화가 바빠서요.
#Person2#: 그렇군요. 장거리 전화 중이라고 전해줄 수 있을까요?
#Person1#: 죄송하지만, 방해할 수는 없어요. 금방 끝나실 거예요.
#Person2#: 얼마나 기다려야 할까요?
#Person1#: 정확히는 말씀드리기 어려워요.
#Person2#: 메시지를 남길 수 있을까요?
#Person1#: 네, 물론이죠.
#Person2#: 그녀에게 제가 통화하고 싶다고 전해줄 수 있을까요?
#Person1#: 네, 알겠습니다. 연결해드릴까요?
#Person2#: 정말 감사합니다.","#Person2#는 통화 중인 Cooper 씨에게 연락하기 위해 #Person1#에게 메시지를 남기고자 했고, #Person1#은 그 요청에 따라 메모를 남기기로 했습니다.",통화 연결 대기
train_2631-rp,"#Person1#: Jane, Potter 교수님 수업은 어땠어?
#Person2#: 별로였어.
#Person1#: 왜 그런지 궁금하네. 무슨 문제가 있었어?
#Person2#: 잘 모르겠는데, 너무 세부적인 내용에 집중해서 그런 것 같아. 작년에 들었던 도시 계획 수업도 비슷했어. 책에서 읽은 내용과 많이 겹쳤어.
#Person1#: 전체적인 구조가 없었다는 거야?
#Person2#: 그렇다고 할 수 있을 것 같아. 개별 건물은 보여도 도시 전체 모습은 보이지 않았어.
#Person1#: 이 과목은 세부사항이 중요하잖아. 난 괜찮았어. 첫 강의는 꽤 흥미롭고 세부적이지 않았어.
#Person2#: 처음에는 잘 흘러갔는데, 그 다음부터는 세부사항만 계속 나오더라고.
#Person1#: 너무 과장하는 것 같네.
#Person2#: 서부 개발에 대한 설명은 괜찮았어.
#Person1#: 그래도 뭔가 배워간 것 같아서 다행이네. 난 Potter 교수님이 조금 산만하시긴 해도 좋다고 생각해.
#Person2#: 정말 그렇게 생각해?
#Person1#: 주로 대학원생을 가르치시니까. 학부 과정은 하나만 가르치시잖아? 그래서 조금 혼란스러워하는 것 같아. 시작은 잘 하는데, 너무 많은 전문 지식을 담으려나 봐.
#Person2#: 내가 가장 불만인 건 방향성이 없다는 거야.","Jane은 Potter 교수님의 수업이 전체적인 구조가 부족하고 세부사항이 지나치게 많다고 느끼지만, #Person1#은 그 수업이 만족스러웠다고 생각한다. Jane은 수업의 방향성이 없다고 불평했다.",Potter 교수님 수업에 대한 논의
train_1621-rp,"#Person1#: 새 상사를 만났는데 어때?
#Person2#: 어떤 사람인지 궁금하네.
#Person1#: 머리가 검고 눈이 갈색이야.
#Person2#: 그렇구나.
#Person1#: 그리고 하얀색 스포츠카를 가지고 있어.
#Person2#: 멋지네.
#Person1#: 그런데 아내랑 아이가 셋 있대.","#Person1#은 #Person2#에게 새 상사의 외모와 자동차, 그리고 가족에 대해 설명합니다.",새 상사 소개
train_7078-rp,"#Person1#: 서둘러서 우리 가방을 보관함에 넣어줄래?
#Person2#: 문제가 생겼어. 보관함이 다 찼대. 미리 왔어야 했는데.
#Person1#: 내가 여러 번 빨리 하라고 했는데, 너는 못 들은 척 했잖아.
#Person2#: 그랬나? 못 들었어. 너무 시끄러웠어.
#Person1#: 분명히 말했어! 고객 서비스에 가서 우리 물건 맡길 수 있는지 물어봐.
#Person2#: 안 된대. 고객 물건은 봐주지 않는다고 하더라.
#Person1#: 이게 다 너 때문이야! 이제 쇼핑도 못 들어가잖아.
#Person2#: 알겠어, 내 실수야. 내가 여기 남아서 우리 물건 지킬게. 너는 Daniel이랑 May랑 쇼핑 다녀와.
#Person1#: 좋은 생각이네!
#Person2#: 아, 내 정장 잊지 말고 사와.
#Person1#: 어떤 색을 원해?
#Person2#: 물론 검정이지.","보관함이 가득 차서 #Person1#과 #Person2#는 쇼핑을 할 수 없게 되었습니다. 고객 서비스에서는 물건을 맡아줄 수 없어 #Person2#가 가방을 지키기로 하고, #Person1#에게 검은 색 정장을 사달라고 요청합니다.",보관함 문제
train_756-rp,"#Person1#: 안녕, Mason!
#Person2#: 안녕, Phoebe!
#Person2#: 오늘 수업에서 네 가족이 많다는 얘기 들었어.
#Person1#: 맞아. 남동생이 다섯 명, 여동생이 여섯 명이야.
#Person2#: 정말 크다! 맏이야, 아니면 막내야?
#Person1#: 둘 다 아니야. 나는 세 번째 자리야.",Phoebe는 Mason이 자신의 큰 가족에 대해 설명하는 것을 듣습니다.,대가족 이야기
train_9946-rp,"#Person1#: 안녕, Linda. 요즘 어때?
#Person2#: 별로야. 감기에 걸려 3일째 고생 중이야.
#Person1#: 그랬구나. 뭔가 도와줄 게 있을까?
#Person2#: 아니, 괜찮아.
#Person1#: 빨리 나아지길 바래.
#Person2#: 걱정해줘서 고마워.","Linda는 감기로 몇 일째 아프고 있고, #Person1#은 그녀를 걱정하며 이야기를 나누었다.",감기에 관한 대화
